"soilTypeId";"soilTypeCode";"soilType";"soilTypeLabel"
"497";"HN_C";"Kalkniedermoor";"    Kalkniedermoor"
"498";"HN_N";"Normniedermoor";"    Normniedermoor"
"499";"HN_U";"Übergangsmoor";"    Übergangsmoor"
"500";"HNGH";"Niedermoorgley";"    Niedermoorgley"
"501";"HNSG";"Niedermoor-Stagnogley";"    Niedermoor-Stagnogley"
"502";"HNYU";"reposol aus Niedermoor";"    reposol aus Niedermoor"
"503";"I";"Semisubhydrische Böden";"Semisubhydrische Böden"
"504";"IA";"Nassstrand";"  Nassstrand"
"505";"IW";"Watt";"  Watt"
"506";"IW_B";"Brackwatt";"    Brackwatt"
"507";"IW_F";"Flusswatt";"    Flusswatt"
"508";"IW_N";"Normwatt";"    Normwatt"
"509";"J";"Subhydrische Böden";"Subhydrische Böden"
"510";"JD";"Dy";"  Dy"
"511";"JG";"Gyttja";"  Gyttja"
"512";"JP";"Protopedon";"  Protopedon"
"513";"JS";"Sapropel";"  Sapropel"
"514";"K";"Erd- und Mulmnoore";"Erd- und Mulmnoore"
"515";"KH";"Erdhochmoor";"  Erdhochmoor"
"516";"KH_N";"Normerdhochmoor";"    Normerdhochmoor"
"517";"KM";"Mulmniedermoor";"  Mulmniedermoor"
"518";"KM_C";"Kalkmulmniedermoor";"    Kalkmulmniedermoor"
"519";"KM_N";"Normmulmniedermoor";"    Normmulmniedermoor"
"520";"KM_U";"Übergangsmulmmoor";"    Übergangsmulmmoor"
